100,959
101,686
102,148
103,257
104,807
105,894
106,386
107,116
108,529
109,930
110,679
111,172
112,273
113,778
114,882
115,404
116,143
117,522
118,914
119,668
120,189
121,289
122,767
123,858
124,393
125,150
126,531
127,899
128,647
129,212
130,280
131,757
132,865
133,415
134,169
135,521
136,885
137,661
138,214
139,297
140,775
141,847
142,403
143,198
144,525
145,871
146,666
147,238
148,321
149,762
150,826
151,433
152,212
153,545
154,871
155,653
156,251
157,317
158,756
159,802
160,420
161,235
162,532
163,835
164,661
165,274
166,355
167,726
168,821
169,422
170,252
171,526
172,849
173,659
174,280
175,350
176,738
177,786
178,434
179,243
180,537
181,819
182,644
183,298
184,366
185,716
186,782
187,443
188,278
189,556
190,816
191,654
192,305
193,372
194,734
195,769
196,469
197,280
198,533
199,817
200,654
201,338
202,368
203,729
204,778
205,475
206,292
207,565
208,797
209,651
210,329
211,397
212,702
213,750
214,455
215,318
216,564
217,783
218,648
219,343
220,393
221,718
222,743
223,483
224,320
225,545
226,793
227,633
228,372
229,423
230,712
231,739
232,483
233,329
234,572
235,777
236,620
237,362
238,407
239,688
240,742
241,483
242,356
243,549
244,752
245,642
246,382
247,422
248,709
249,727
250,484
251,366
252,557
253,759
254,627
255,403
256,437
257,692
258,737
259,495
260,379
261,563
262,753
263,645
264,412
265,446
266,686
267,730
268,499
269,398
270,551
271,760
272,633
273,409
274,444
275,671
276,737
277,493
278,379
279,560
280,745
281,641
282,429
283,464
284,692
285,718
286,503
287,411
288,566
289,750
290,629
291,425
292,472
293,688
294,702
295,512
296,425
297,579
298,745
299,641
